Search Term,01,02,03,04,05,06,07,08,09,10,11,12,方差,均值
rtx 3060,3307.2258,1612.0714,862.1333,816.8667,1604.6774,1019.6333,561.25,757.0645,435.0333,720.3667,1075.3077,0,0.0588,1064.3025
sundress,17509.4516,7047.9643,1619.2333,1205.9,577.8387,476.9,1303.7143,3273.6452,13724.9667,36832.2667,46190.4615,0,0.1035,10813.5285
ipad pro,1058.7097,558.7857,781.2667,613.9333,412.8387,295.3,393.8214,489.9032,679.3667,859.4333,423.5,0,0.0639,547.2382
kids headphones,2977.5161,3127.1071,2356.0667,3448.9333,3506.9032,3185.2,1790.5,370.8065,1411.6333,2424.5,1524.9615,0,0.103,2177.0106
paper plates,718.5806,642.9643,663.9333,605.3667,758.0323,1300.4667,485.2143,415.1935,500.5667,614.3,898.9231,0,0.0507,633.6285
bento box,1553.2581,1779.8929,1713.5,1610.6,1675.2903,2776.4667,568.6071,164.3226,332.5667,882.5,1291.5,0,0.0797,1195.7087
corset,134.0968,173.4643,139.3,217.9333,362.5484,696.5667,519.2857,396.2581,145.8333,48.2333,295.3462,0,0.0779,260.7388
swimsuit,5898.871,2908.0,1412.4667,1829.2667,957.6129,227.9667,598.25,548.2258,6651.0667,16489.9,13615.7692,0,0.1023,4261.4496
fire stick,175.4839,199.1071,238.7333,263.0667,354.2581,276.0667,359.3929,361.5161,376.4,493.2333,407.9231,0,0.0636,292.0984
baby wipes,516.0323,388.6071,383.4,329.8333,391.7097,481.7,392.0,312.0645,314.4,354.1667,639.5,0,0.0515,375.2845
electric toothbrush,404.1613,389.3214,392.0,417.6333,571.6129,1789.0333,541.0,378.9032,403.7333,429.5667,320.2308,0,0.0526,503.0997
socks,561.0,627.8929,437.4333,410.2667,414.9032,444.8333,1395.8929,318.5484,351.8,1818.7333,1820.5769,0,0.1023,716.8234
spongebob,1103.3871,741.3214,561.5667,570.6333,455.1613,586.2667,377.1786,763.8387,995.3333,1082.5,1071.8846,0,0.0851,692.4226
cocomelon,645.7419,377.9286,390.4667,347.3667,419.3548,331.3667,340.1429,271.7419,275.6667,210.1667,121.4615,0,0.0565,310.9504
bath towels,647.4194,682.3214,544.9,547.2667,420.9355,363.1,401.9643,441.3548,516.5333,525.6,502.3077,0,0.0599,466.1419
diamond painting,64.0323,94.6786,100.1333,114.1667,146.4839,374.9667,549.4643,652.129,709.9333,1129.9667,945.8462,0,0.1054,406.8167
y2k,1013.4516,1737.0,1209.1,780.9,772.8065,882.9,1510.5714,2313.9677,616.3,2692.5,2211.3846,0,0.0805,1311.7401
camping gear,1387.4839,1175.1429,696.0333,562.1667,432.8387,355.9333,501.5,851.6774,1180.9333,1389.7667,1296.1154,0,0.1015,819.1326
sofa,573.2903,560.5714,402.7,514.2667,577.4839,411.0333,379.5357,375.871,412.1,2132.7,1658.9615,0,0.0732,666.5428
key chain,5173.2903,5968.7857,4103.8,3568.5667,1566.0323,598.8667,463.75,463.871,964.5333,1040.1333,1374.6538,0,0.1072,2107.1903
dorm room essentials,4155.4194,5248.0357,4924.1,3428.6667,2263.7419,1340.6,473.75,592.6452,4518.5667,8569.7333,7109.6538,0,0.0923,3552.0761
office decor,1035.7097,1277.1786,1040.5,1102.9667,1296.9032,1043.4667,543.7143,580.0323,725.4667,1018.6333,1593.8462,0,0.0639,938.2015
weights,174.3548,213.3571,260.4333,287.7333,349.129,362.5667,414.8571,493.0,623.6,719.5333,743.9231,0,0.0842,386.874
futon,529.871,559.8214,415.1667,648.4,609.2581,525.0333,370.2143,366.4839,440.5,555.8667,666.3462,0,0.067,473.9135
rings for women,349.3226,476.1786,477.8333,569.6,598.2258,728.6667,439.8214,607.871,702.1,918.4,791.9231,0,0.0613,554.9952
lunch bag women,399714.1613,377825.5714,372503.3,350518.7667,489845.5806,177376.5333,614.4643,332.871,608.0,702.6,1086.1538,0,0.1538,180927.3335
dresser for bedroom,57173.5806,29675.75,847.6667,346.0,352.4194,16066.1,19240.8214,413.0323,294.2667,379.2,410.6923,0,0.0885,10433.2941
xbox,538.871,475.1429,437.8667,628.3,724.1613,404.6667,759.75,959.1935,574.2667,478.9333,560.2308,0,0.0539,545.1152
electric bike,1621.0968,1683.5,533.7667,337.9667,369.0323,678.8,350.5714,321.4194,507.2667,668.7,1002.1154,0,0.087,672.853
backpack purse,8633.0323,7668.6071,4872.7333,3841.4333,2993.7419,816.3667,484.3571,1384.5161,3403.6,4214.7,3645.5,0,0.0889,3496.549
webcam,172.7742,197.1429,298.3333,509.2667,557.3871,696.9,582.2857,550.2903,596.6,829.0667,997.1923,0,0.0759,498.9366
iphone charger 10ft,35125.0645,116135.75,23386.8333,77048.6,126726.0645,126397.2667,11032.75,52246.8387,8370.0667,8108.5333,68621.1154,0,0.1317,54433.2403
bean bag chairs,9529.6129,11354.9643,9702.2667,11982.5333,10192.0,9426.5333,1520.0357,444.2258,507.9,562.8,295.6923,0,0.1716,5459.8804
garden hose,3589.7742,3485.0,803.0333,288.6333,199.4516,346.9667,425.3571,871.7419,1158.4333,2442.4333,3860.1538,0,0.1322,1455.9149
golf balls,2087.9355,1877.2143,755.3667,447.4333,434.2581,445.5667,452.6071,373.3226,457.5667,882.1,1012.5,0,0.0823,768.8226
mousepad,2233.871,2774.2857,2256.0,2238.9,1957.3871,1328.5667,1071.4643,1380.7097,2020.7667,2603.3333,2354.3846,0,0.0726,1851.6391
leggings for women,87.0,169.4286,181.1333,142.4667,187.8387,430.7,776.1786,290.6774,103.3333,98.9,86.1154,0,0.0666,212.8143
backpacks for school,245658.3871,195648.5,128436.9,129052.7333,134544.4839,54462.6333,1852.8214,480.4194,20594.4667,51483.3667,72262.0769,0,0.0994,86206.3991
2 piece outfits for women,1734.871,1333.5357,649.8667,684.2,654.4516,581.6667,550.3929,893.5806,1058.6333,1527.6333,1921.8077,0,0.079,965.8866
neon sign,3633.3226,4433.25,3637.8,3641.1,4323.9032,2362.4667,505.0,505.6452,933.2,993.7333,904.8462,0,0.1315,2156.1889
coffee makers,8076.2581,9683.6071,8483.8333,9627.2,7385.2903,7676.6,2943.5,9212.5484,8551.2333,10702.2667,7147.5,0,0.0742,7457.4864
crystals,595.6129,489.3214,553.6,587.0,585.7742,593.4333,408.75,504.6452,471.5667,495.5333,371.6923,0,0.0709,471.4108
ottoman,425.0,546.2857,512.5667,623.0,816.6774,1439.1,793.9643,394.7419,465.0667,718.2333,748.5385,0,0.0515,623.5979
womens summer dresses,19130.6452,6720.2857,982.3333,458.6,226.7742,504.3,1056.7143,7664.8065,35584.2,40645.2333,48834.0,0,0.1256,13483.991
journal,468.7742,600.3929,639.6,536.6333,582.1613,629.3,470.75,540.2258,594.2667,671.6333,1825.2692,0,0.0475,629.9172
mascara,498.4839,489.0357,462.2333,418.5333,568.9355,664.2,1715.7857,494.1935,519.1,481.6333,549.4615,0,0.0484,571.7996
packing cubes,4889.2258,3740.6786,1953.5,1594.0667,1150.6774,944.7,441.1786,1009.8387,1753.0667,1906.3667,1692.3846,0,0.0706,1756.307
dinosaur toys,1420.2581,1125.3571,809.4667,817.8,990.9677,874.2333,716.0,780.9677,744.8667,477.7333,407.6923,0,0.0589,763.7786
floor lamps,733.1613,874.7857,1260.0667,2327.6667,2906.5806,2306.3667,683.0714,961.1935,2759.3667,3381.8,3392.8462,0,0.11,1798.9088
shirts for women,842.1613,966.1429,384.0333,384.7667,428.4194,584.2,475.4286,490.8065,556.0667,911.5,1243.9615,0,0.0655,605.6239
gift card,86.6774,60.8214,89.2667,71.9,80.2903,210.6333,590.3929,375.871,456.7333,781.3333,495.1538,0,0.0986,274.9228
shampoo,554.9032,510.9643,562.3333,433.6333,362.7097,514.7333,462.7143,381.5484,339.1667,427.5667,812.8846,0,0.0493,446.9298
fanny pack,2292.2258,1914.8929,1132.7667,711.3667,571.8387,636.8667,2026.0714,823.8387,798.8,1046.4333,1493.1538,0,0.0812,1120.6879
apple watch bands,244.0323,454.9286,381.3667,490.2667,390.3871,369.3,384.5,545.2581,848.2333,941.0,500.3462,0,0.0635,462.4682
body pillow,489.129,448.0357,413.8,525.8667,624.0645,573.1667,451.6071,564.4839,686.5333,849.9,697.6923,0,0.0549,527.0233
transformers,445.4194,295.7857,376.4667,439.2333,320.8387,374.4333,346.5714,388.129,344.1667,539.2333,671.5,0,0.0509,378.4815
flashlight,2302.6129,2112.25,1867.2,1949.3,2037.3226,1556.0333,1360.1071,2489.3226,2262.6,2108.1,1902.0,0,0.0633,1828.904
mens shorts,4503.7419,2816.75,400.8333,184.7667,146.1613,186.1,298.3571,323.6129,694.8667,2313.0333,3575.7308,0,0.1126,1286.9962
hand soap,584.7742,565.2857,618.6,588.3333,610.2258,757.4333,533.7143,419.0323,434.1667,540.8667,893.5385,0,0.0528,545.4976
women's sandals,6457.8387,4843.8214,882.6,385.7,278.0645,309.2,460.7857,643.3226,1468.0333,4645.9,6963.4615,0,0.1321,2278.2273
bed frame,231.8065,638.75,188.4667,194.2333,371.8065,599.0333,505.5357,544.3548,199.4,474.3667,533.1154,0,0.0939,373.4057
lego star wars,259.0968,382.2857,437.0333,553.0667,448.4516,403.2667,781.75,890.4516,508.4333,526.3,694.2692,0,0.0641,490.3671
roller skates,1745.2903,1073.25,896.1,955.0333,1302.3548,1418.0,1749.1071,1459.0968,3141.3667,3875.7,2153.8846,0,0.0653,1647.432
wallet for men,13919.7419,14576.9643,10703.3667,11986.4667,10422.2581,9284.4667,1024.0357,483.0645,373.4,367.4,281.4615,0,0.1615,6118.5522
jbl bluetooth speaker,2001.4516,2292.9286,1813.4,1658.3667,1448.0,981.3667,664.0357,1141.5161,603.9333,694.2,477.3846,0,0.085,1148.0486
neck fan,28622.4839,22615.5714,7934.4,3973.8333,1649.7097,731.3,391.0357,541.0323,2644.6,8435.3667,15571.5385,0,0.1029,7759.2393
peppa pig,713.1935,402.5714,472.8667,486.2333,426.9677,348.1,448.1786,548.9355,539.3667,467.0667,359.0,0,0.0508,434.3733
new balance mens shoes,572.9677,610.3929,320.6,330.2,359.2903,297.4667,507.7143,1065.4194,522.4,493.8,480.0769,0,0.0509,463.3607
boho decor,719.0645,766.3929,710.5333,892.8667,995.7742,863.4333,502.2143,543.2903,725.3,1252.1,1309.4615,0,0.0643,773.3692
ebt eligible food items free shipping,1793.3548,1056.8571,1139.4667,1109.1,829.4194,607.7,507.8571,487.6774,499.7667,544.5333,837.1923,0,0.059,784.4104
biker shorts for women high waist,51925.1935,24724.3571,111902.0,18863.6667,3520.9355,26702.6,944.6429,1137.3548,1774.1667,8138.9333,23019.3077,0,0.0753,22721.0965
free kindle books,399.5161,404.0,591.1667,663.2,703.5161,834.2333,557.9286,728.7742,622.4667,837.1667,1062.7308,0,0.0586,617.0583
ssd,492.1613,390.1429,415.9667,430.8667,415.4839,442.1333,539.9286,690.2258,636.1667,703.7,611.9231,0,0.0657,480.7249
flip flops for women,2448.7097,1690.3214,2108.3667,9431.2333,7315.7097,8738.3,7833.1786,880.4194,1764.8,2900.2667,3964.1154,0,0.1132,4089.6184
high waisted bikini set,301010.5161,375470.4643,396511.6333,479864.1,191876.3548,43951.5667,40650.3929,345125.9355,314044.5667,324595.4667,231558.3846,0,0.0954,253721.6151
jansport,30703.3871,34745.2857,22434.8333,26317.5333,25685.3871,18483.4,1337.3929,1126.2903,9512.9333,18706.8667,21421.0385,0,0.1075,17539.529
chicken,242.2581,180.75,401.7333,496.9333,471.871,529.0333,498.9286,458.4839,426.8333,2080.3667,1699.7308,0,0.0807,623.9102
night light,573.3226,638.0714,557.2,558.8333,963.4516,1211.0667,878.7857,482.2903,464.1333,592.9333,673.8846,0,0.0553,632.8311
pool accessories,15331.7097,11591.2857,2745.6667,1391.5667,674.3871,339.3333,425.9643,3532.7097,13263.4,28736.3667,28124.6923,0,0.1257,8846.4235
classroom decor,16132.5161,15179.25,11414.9,10240.6667,7004.6129,3245.2333,1089.1429,723.2258,5332.5333,12559.8,22572.6154,0,0.0908,8791.208
ring camera,1930.7742,2850.3571,2885.8,4932.7333,1636.0,2157.7333,1729.6429,864.0323,1319.1333,1611.3333,637.6154,0,0.0614,1879.5963
fake nails,670.4516,628.9286,636.8667,834.5667,806.7742,890.2667,704.2143,782.871,688.0,724.2667,822.5385,0,0.0615,682.4788
cereal,492.6129,357.2143,509.4,616.2333,585.7097,568.5,474.3571,476.5161,520.1333,709.4333,1086.1154,0,0.0475,533.0188
cat litter,474.3871,381.5,483.0667,436.1667,394.9677,480.6333,455.7143,362.2903,312.0333,368.1333,535.1923,0,0.0614,390.3404
bathroom storage,1030.6774,824.0714,783.3,831.8333,610.6129,671.1333,465.4643,532.2581,516.7667,813.8,995.1154,0,0.0671,672.9194
clothes,960.6774,919.1429,918.5333,907.2,1034.4194,1160.1333,784.8214,1031.9355,1085.3333,1544.9333,1119.8077,0,0.0486,955.5781
kayak,2135.0323,1571.0714,634.6667,476.2333,401.5484,319.4,441.2857,1017.871,2045.5667,4201.6,5087.6923,0,0.0929,1527.664
hot wheels,824.1613,813.3929,702.1333,841.4333,810.4194,542.5333,734.1786,551.8065,424.2,398.1667,200.8462,0,0.0957,570.2726
toothbrush,1943.6452,2231.8571,1601.8,477.4667,1165.6129,1828.0333,600.3929,475.4194,447.4333,482.5333,623.6154,0,0.0988,989.8175
a quiet place,23802.3871,17325.2143,19312.7333,20871.1333,3345.0,681.1333,632.8571,2269.7742,7252.8,9315.1667,14085.3077,0,0.1254,9907.7922
essential oils,271.7742,311.5714,374.2333,430.3667,466.7097,593.2667,507.3571,456.9032,431.5333,494.1333,579.7692,0,0.0671,409.8015
mattress topper,774.129,3247.5357,1981.0333,4472.3,4117.0968,2420.6,1211.8929,410.0,611.8667,887.9,1125.3462,0,0.1012,1771.6417
womens sandals,6672.4839,2464.5,117.2667,39.0,61.3226,185.2333,379.3571,756.6774,3410.2,7453.7333,9371.5385,0,0.1203,2575.9427
ear wax removal,440.9677,546.7143,711.9667,965.1667,1519.4516,1323.2333,747.0,743.1613,563.3333,714.8333,914.6538,0,0.0624,765.8735
beach chair,14985.6129,10119.4643,2481.9667,1614.7,799.9355,258.0667,240.3929,484.0968,1308.8667,3803.5667,7845.5769,0,0.0941,3661.8538
echo dot,265.1935,438.3571,568.9667,354.5667,503.129,481.3333,646.1786,721.0323,875.5667,848.2667,416.5,0,0.0732,509.9242
school backpack,24649.6774,23791.0714,14890.1,13348.4333,14261.9355,7609.6333,933.4286,498.5806,5697.9667,12676.6667,10557.1154,0,0.1036,10742.8841
duffle bag,4232.8065,7028.0714,3604.5333,1972.8,1527.8065,1190.4,591.0714,832.3871,1200.2,1611.9,1397.8077,0,0.071,2099.1487
mystery box,2044.9355,1943.9286,1693.9,1234.0667,1554.0645,1183.3,608.0,748.4194,1552.0,1970.5667,1569.6538,0,0.0846,1341.9029
acrylic nail kit,304.4194,406.4286,581.1667,682.7667,774.3548,703.2333,649.9643,744.0,1082.0,1243.8667,1099.5385,0,0.0731,689.3116
toddler bed,628.6774,529.3571,429.7667,549.2667,602.0968,598.0667,501.6071,613.6774,588.9667,653.6,730.9615,0,0.0589,535.5037
side table,520.0323,696.0,638.9333,712.9333,726.7419,955.3333,675.8571,445.8387,494.2333,708.5667,777.9231,0,0.0561,612.6994
muddy bites,92448.0968,94061.4643,217676.0667,143742.0667,217168.9677,153173.3667,56148.1071,36874.2903,28477.4,35537.6667,39827.0,0,0.1066,92927.8744
airpod pro case,796.2581,708.8929,309.8667,626.4667,773.8387,855.5667,565.5,127.5161,195.5,245.7333,221.5769,0,0.1122,452.2263
luca,519536.0323,409574.3571,237935.0667,298307.0333,151757.129,5980.2,377.6429,1212.0323,1828.4667,3932.9333,4640.4615,0,0.1184,136256.7796
lunch bag,2185.5806,2229.1786,1538.9,1557.7,1910.7097,1742.2,689.0714,238.3871,536.6333,1038.7,1598.3462,0,0.105,1272.1172
pepper spray,628.1613,428.3214,299.2333,239.3667,431.5484,609.1,577.9286,395.8065,543.7,691.3667,898.5385,0,0.0625,478.5893
bts,842.4839,868.7857,857.5333,605.0,603.8387,530.6667,504.25,805.871,831.0667,973.1333,798.5385,0,0.0668,685.0973
shark movies,2287.4516,4515.5357,6639.0333,6649.7,5897.2903,5595.1667,786.8571,736.9032,1826.9,5525.1,7721.5385,0,0.1135,4015.123
coffee maker,79.3548,86.25,122.8,105.9,219.8065,119.4667,365.0357,275.2258,86.5333,84.3333,75.7308,0,0.0708,135.0364
legos,484.8065,426.75,432.7,748.5667,815.7419,616.9,534.8214,1163.1613,496.3,879.0333,171.3846,0,0.0664,564.1805
portable fan,17578.6129,13997.0357,6164.9333,3594.1667,1766.5484,691.2,585.25,996.4194,2401.3,6399.8,11731.8462,0,0.1033,5492.2594
water balloons,30562.3548,21230.5,5818.7667,2645.9667,1371.0,609.0667,745.9286,2642.0323,9939.6,21364.7333,34592.1538,0,0.1216,10960.1752
xbox one controllers,52634.8065,84212.1429,79264.8667,55049.0333,863.3226,442.3667,1407.8929,4256.2903,1796.3333,1738.1,1159.1538,0,0.1473,23568.6924
hydroflask,2892.0,2335.1786,1228.6667,1878.5333,1519.6774,999.4333,520.2857,680.9677,1659.5,2361.0333,1494.7692,0,0.0771,1464.1704
baby toys,1222.1613,981.7143,720.7333,965.2,869.3548,708.9333,551.3214,601.2903,644.5,411.9333,158.8077,0,0.074,652.9958
samsung galaxy s21 + case,0.0,0.0,0.0,0.0,0.0,0.0,1458.5833,6595.871,9984.4333,310384.7667,470499.1154,0,0.0996,66576.8975
kawaii,1086.2258,806.9286,619.7,584.5,560.9032,636.0667,511.6786,2068.1613,978.0667,1105.4667,821.0,0,0.0526,814.8915
lol surprise dolls,456.1935,490.9643,501.4333,728.5667,949.4194,767.9667,564.25,634.7097,634.2667,410.7667,209.3077,0,0.0648,528.9871
solar outdoor lights,23627.4516,25580.25,12687.4333,9526.4,6351.7742,287.3333,471.1786,606.3871,380.4667,175.6333,302.7692,0,0.1238,6666.4231
jack ryan,1087.4194,587.6071,863.8333,985.9667,719.4194,1159.3667,629.8929,930.4516,943.7,1027.1,1837.7308,0,0.0499,897.7073
summer tops for women,18957.6129,5343.0357,630.5333,275.0667,164.0645,140.6667,566.6429,4176.3871,21946.8,44607.7333,50688.9615,0,0.1179,12291.4587
hangers,488.5484,775.9286,691.3333,562.2333,556.1935,528.2,451.9643,262.4194,275.5333,388.8333,581.4231,0,0.0668,463.5509
portable phone charger,17239.871,14499.1071,13804.4333,9804.2,5715.4194,1156.2333,530.7143,1181.871,5526.6333,9458.0333,10733.3846,0,0.1108,7470.825
purse,1274.2903,1112.3929,679.4333,681.8,640.0645,447.5333,487.3571,610.1613,543.5333,594.1667,464.5385,0,0.0585,627.9393
jumpsuit for women casual summer,0.0,0.0,0.0,0.0,0.0,0.0,31024.5,257080.5806,361745.4333,30787.9667,0.0,0,0.1021,56719.8734
rompers for women dressy summer,0.0,0.0,0.0,0.0,0.0,0.0,15699.5833,141308.4839,376640.2,115976.5333,0.0,0,0.0825,54135.4
queen mattresses,295380.5484,155895.0714,25346.3667,114474.5,60566.9032,1146.1,501.8214,560.0323,722.8667,725.1,963.6923,0,0.0889,54690.2502
fake plants,378.1935,422.75,395.4333,515.5333,623.5484,640.3,491.6429,401.2258,589.4333,953.1333,946.6154,0,0.0669,529.8174
converse shoes women,0.0,0.0,0.0,0.0,0.0,0.0,868.5833,1461.6129,525.8,542.3,546.6923,0,0.0961,328.749
shampoo and conditioner set,710.8387,607.4643,677.5667,727.5667,715.3226,565.9667,558.5357,668.7097,735.4667,855.1333,1009.3077,0,0.0518,652.6566
litter box,911.5806,835.7857,769.5667,837.1333,862.5484,911.6667,541.3571,700.1613,579.3333,657.4,865.2308,0,0.0718,705.9803
spice rack,487.3226,649.4643,721.3667,785.5,973.4839,1284.7333,542.2143,650.1935,682.8333,874.3333,851.5769,0,0.0526,708.5852
seat covers,1341.2258,1231.6429,478.1,574.3,682.1613,560.3667,578.1429,805.871,903.2,1093.5667,1300.5385,0,0.0807,795.7597
duvet cover,1971.2581,1804.7857,1156.6667,865.2,756.0323,804.3,548.8571,552.5161,544.2,570.6667,581.1923,0,0.0733,846.3062
hair dryer,327.9677,363.7143,521.3667,555.1667,534.7742,565.2,554.7143,306.3548,475.7667,470.2333,480.9231,0,0.0757,429.6818
shelf,530.4516,669.1429,597.9667,621.3,627.0968,682.0,590.3571,552.7097,533.7,712.5,849.1154,0,0.0525,580.5283
pantry organization and storage,278.4194,439.9286,617.1333,667.3,614.3226,555.8667,514.3214,401.2903,401.2667,554.6,801.0769,0,0.0613,487.1272
iphone x case,461.9355,526.7857,480.2,634.3333,786.9032,507.2,532.3214,747.8387,777.8333,888.0667,1143.0385,0,0.0557,623.8714
amazonbasics,101.5161,257.5357,386.1667,396.6,400.8387,456.6333,451.75,486.2903,368.4,583.0667,280.2692,0,0.0732,347.4222
weighted blanket,111.5484,526.2857,1403.0333,1452.0667,788.0323,2104.1667,987.5,399.8065,247.5,142.2667,61.2308,0,0.0941,685.2864
yogurt,342.1935,271.6786,447.8,540.5667,595.3548,703.4667,571.1071,535.7419,436.5667,675.1333,1452.5385,0,0.0515,547.679
shorts,4821.5484,3779.8571,946.3333,571.3333,374.0,345.5,630.6786,927.6129,1620.4,3750.7,5214.6923,0,0.123,1915.2213
humidifiers,110.4839,147.1429,395.5667,512.2667,642.1613,624.1667,624.8214,626.0645,422.3,380.3,362.3077,0,0.1077,403.9652
bra,1967.2581,1833.4643,1319.4333,1407.1,1517.7742,947.1333,641.1429,1025.0,2006.9,2716.8333,3009.4231,0,0.0726,1532.6219
drone,455.3548,503.6786,424.4,421.3667,413.6129,383.2,1388.9286,602.3226,452.8333,506.2667,351.3077,0,0.0479,491.9393
board games,492.6129,520.9643,497.1,751.2667,687.4839,491.0333,561.1071,673.3548,668.2333,484.9667,192.0,0,0.0747,501.6769
airpods case,77.5484,92.6786,72.0,84.9,234.0323,302.3667,648.3929,265.5484,129.9333,147.9333,160.3462,0,0.0633,184.64
alien,1307.1935,1068.9643,1069.1,1160.4667,370.6129,734.5667,428.0714,448.7742,783.4333,1130.0667,1016.1923,0,0.0867,793.1202
clear backpack,6544.9355,4952.9643,3892.8667,3725.1333,2903.871,10047.8,1914.5714,470.9677,751.3667,1112.0667,2189.9615,0,0.0765,3208.8754
stress balls,1082.2581,998.1071,795.2,606.0,488.129,678.2,607.7143,730.1613,806.5,1053.6,1048.3462,0,0.0736,741.1847
gua sha,3391.6129,3380.4643,582.8333,51.0333,85.4516,218.3333,615.8929,1271.1613,1364.1333,1510.7,630.1154,0,0.1127,1091.811
toilet paper holder,507.8065,592.0714,451.8,405.8667,886.3548,1594.7,967.8571,464.7419,517.2,572.3,804.8462,0,0.0549,647.1287
headband,2139.4516,2083.0357,1776.0,1799.0667,1710.7419,898.6667,1633.8214,1909.2903,1697.3333,1367.1,2210.4615,0,0.0715,1602.0808
storage cabinet,457.7419,770.2143,682.6333,695.2333,827.4839,808.3,608.0357,719.0645,824.3667,1044.5,1228.9615,0,0.0551,722.2113
bed frames,1827.3226,1317.5357,1464.5,2173.0333,1700.9677,1130.9667,746.75,761.6452,2804.3,3800.5,3522.3462,0,0.0827,1770.8223
chlorine tablets,27919.0645,30468.1429,26368.0333,8894.1,413.8387,1211.3333,903.6071,2171.7742,7967.3,18490.5333,32469.2692,0,0.1492,13106.4164
jewelry organizer,198.9355,253.5,265.0333,255.1333,317.9355,296.0667,774.8214,1029.1935,229.7333,307.8,170.8462,0,0.068,341.5832
jansport backpack,4401.6452,4570.5357,2503.6333,2941.8,3123.0323,1965.4667,1316.3571,150.3871,813.8333,1827.1,2181.0385,0,0.0952,2149.5691
airpod cases,1893.3226,3597.7857,2196.0667,5246.1333,1186.5806,5442.2,843.0714,4696.3871,6471.3,7218.5333,5219.0385,0,0.0999,3667.5349
funko,2522.5806,2485.6429,1253.7333,2000.9,1818.1935,703.1667,672.3571,1262.8065,1993.7333,1646.1,2486.5385,0,0.0947,1570.4794
toddler toys,1372.8387,1142.3214,770.9,921.7333,965.9355,724.5333,636.4286,622.5806,582.2333,385.2333,198.8077,0,0.0724,693.6288
colored pencils,1034.3548,1028.3929,1252.6,1350.8,1739.4516,2784.5333,642.25,388.3548,1040.1333,1547.5333,1242.6538,0,0.0584,1170.9215
iphone xr,612.4194,338.2143,465.2667,591.7667,610.8387,661.2667,539.0357,691.6452,699.9333,905.4333,829.1923,0,0.0623,578.751
binder,1641.7419,2156.2143,2017.0667,1745.3667,1660.0968,1675.3333,844.4643,325.129,769.0,1477.6,2154.3846,0,0.1015,1372.1998
jurassic park,2253.6452,1416.3571,1917.2667,2196.3,1065.4194,477.4667,427.7143,517.8065,1596.9333,2568.8667,2291.4615,0,0.107,1394.1031
twilight,465.7097,412.1071,552.5667,622.4,536.7097,495.0,511.3571,1783.0,2705.9,3917.9,4127.7692,0,0.1129,1344.2016
christmas decorations,15024.5484,36626.1071,28448.1,15473.8667,9473.871,4108.3333,858.9286,464.8065,95.1,18.6,1.1538,0,0.1059,9216.118
closet storage,3592.2581,4121.6429,5102.2333,4115.0,2651.5806,2135.7667,1353.0,2677.6774,3296.4,4588.1,5428.3462,0,0.0783,3255.1671
coasters,1113.4839,1265.3214,1077.5,1205.7333,1225.6452,1268.0333,652.9643,606.8065,806.1,1219.3333,1490.7692,0,0.0696,994.3075
ps4 games,335.5161,411.2857,312.6667,486.8667,597.9032,535.4667,648.0357,576.3871,555.9667,627.6,331.2692,0,0.0751,451.5803
kids backpack,21932.9355,20110.75,11268.0,12100.4667,12463.2903,6053.7667,886.5,796.4194,9043.1,14907.1,12380.0385,0,0.0988,10161.8639
baby monitor,933.8387,626.5714,649.5667,664.0667,616.1613,603.9333,546.0714,723.129,664.2333,752.2,946.6154,0,0.0578,643.8656
underwear women,45076.7742,20422.6429,685.0667,706.4,747.0645,687.9667,621.5,623.8065,571.1333,663.0333,762.0385,0,0.0831,5963.9522
aaa batteries,694.4194,852.0714,831.5,853.6,1321.2903,1117.8333,700.1071,1846.6774,548.7,502.7667,613.0,0,0.0566,823.4971
aesthetic room decor,497.4839,546.8214,762.1667,2204.8,3539.2903,1043.3333,610.4286,781.1935,974.1667,1228.6333,954.6538,0,0.0636,1095.2476
knife set,750.4839,836.0357,600.7,620.4667,641.6774,618.4667,636.3214,653.4839,609.9333,639.3333,401.1923,0,0.0576,584.0079
batman,340.5484,363.9643,317.4667,381.1333,648.129,670.8333,456.2857,569.3226,781.9667,962.6333,1168.1923,0,0.0673,555.0396
nightstand,1146.0968,1272.9643,1000.2,1424.8667,1310.7097,550.4333,687.7143,533.4839,253.7333,2428.0,304.5385,0,0.0689,909.3951
peel and stick wallpaper,402.1935,308.6786,329.7333,486.2333,463.2258,459.1333,503.4643,580.2903,405.9,587.7667,955.3077,0,0.049,456.8272
malayalam movies 2021,0.0,0.0,0.0,0.0,0.0,0.0,576.5,695.871,781.1,1812.8667,2141.8462,0,0.1143,500.682
computer,545.129,429.0357,399.7333,418.8,514.0645,551.1667,633.8929,727.1613,817.7333,865.1333,698.6923,0,0.0657,550.0452
vestidos elegantes de mujer para fiesta,0.0,0.0,0.0,0.0,0.0,0.0,741.9167,748.4194,725.2667,977.6667,881.9615,0,0.1732,339.6026
beach umbrellas,208812.3548,188945.8214,109248.9,85318.8,39202.3871,575.2333,611.8929,1803.129,5108.0667,23701.5,198251.3846,0,0.1492,71798.2892
switch games,455.1613,523.5357,353.8,628.5,807.0,600.7,547.75,713.1935,672.8,534.3,250.5385,0,0.0685,507.2732
sandals women,173084.8387,121312.0,29789.7,23948.8,20487.2581,12561.4667,593.3571,212.7742,619.3333,1663.5,2350.8077,0,0.0953,32218.653
comforter,1678.4516,1634.9643,1050.9667,1076.8667,935.2258,715.8333,593.5,616.7419,1122.2,1798.4333,1585.9615,0,0.0827,1067.4288
