Search Term,均值,方差,斜率
maternity dress,207.3301,0.0897,"{'11': 0.656, '5': 0.402}"
desk chair,103.3003,0.0841,"{'11': 0.611, '5': 0.477}"
simple dimple,366.3913,0.0693,"{'2': 0.112, '11': 0.472, '7': 1.262}"
gift cards,452.4841,0.1643,{'4': 0.339}
protein powder,130.562,0.0731,"{'3': 0.126, '11': 0.825}"
iphone charger,80.8383,0.0697,"{'8': 0.475, '11': 0.333, '6': 0.536}"
fidgets,104.6298,0.0813,{'11': 0.231}
movies,150.0478,0.06,"{'3': 1.114, '11': 0.33, '6': 0.061}"
gaming pc,86.777,0.0688,{'10': 0.19}
spongebob squarepants,159.2557,0.0596,"{'10': 1.008, '6': 0.079}"
iphone 8 case,654.0896,0.0566,"{'2': 0.069, '11': 0.451, '6': 0.913}"
tv stand,69.7737,0.0633,"{'2': 0.176, '11': 0.51, '7': 0.4}"
monitor,122.5493,0.0507,"{'8': 0.294, '10': 0.909, '4': 0.334}"
baby essentials,4281.3954,0.1697,"{'11': 0.114, '4': 0.281}"
fidget,304.9454,0.0783,{'11': 0.371}
lunch box,548.0805,0.1218,"{'2': 0.212, '11': 0.429, '5': 0.408}"
dog toys,105.8054,0.0592,"{'10': 0.437, '6': 0.39}"
gel nail polish,144.3767,0.0642,"{'11': 0.65, '6': 0.17}"
ps4 controller,122.3011,0.0827,"{'10': 0.463, '2': 0.066, '6': 0.388}"
coffee table,118.2201,0.0645,"{'2': 0.274, '11': 0.408, '7': 0.469}"
iphone 11 screen protector,967.532,0.0713,"{'8': 0.357, '2': 0.782, '11': 0.429, '6': 0.466}"
earrings,189.0114,0.0628,"{'11': 0.417, '4': 0.187}"
pokemon,107.3613,0.0514,"{'9': 0.164, '5': 0.121}"
white dress women,326.6616,0.079,{'11': 1.152}
alexa,178.1064,0.0647,"{'11': 0.108, '7': 1.366}"
making the cut store,42215.4915,0.1295,"{'11': 0.152, '4': 0.254}"
n95 mask,335.9708,0.111,"{'11': 0.979, '6': 0.739}"
maxi dresses for women summer,89396.492,0.1288,"{'3': 1.322, '9': 0.456, '11': 0.36}"
paper towels,159.34,0.0563,"{'11': 0.458, '6': 0.884}"
womens tops,73.8594,0.0699,"{'2': 0.182, '11': 0.415, '6': 0.998}"
toilet paper,120.8996,0.0578,"{'11': 0.691, '6': 0.588}"
backpacks for girls,22399.7239,0.1214,"{'2': 0.36, '11': 0.129, '5': 0.266}"
comedy movies,232.1055,0.0601,"{'11': 1.067, '4': 0.134, '6': 0.13}"
dog bed,97.1513,0.0523,"{'11': 0.299, '6': 0.592}"
harry potter,92.4874,0.0704,"{'11': 0.492, '6': 0.259}"
amazon ptime,40799.4252,0.0852,{'3': 1.045}
iphone 11,143.8535,0.0701,"{'10': 0.213, '6': 0.594}"
snacks,167.0553,0.0483,{'11': 1.103}
whole foods,175.4347,0.0878,"{'3': 0.453, '11': 1.039, '6': 0.23}"
bluetooth speakers,2354.327,0.1346,{'2': 0.342}
home decor,135.2986,0.053,"{'11': 0.703, '6': 0.132}"
waist trainer for women,96.163,0.0659,{'11': 0.916}
led lights,49.5629,0.0727,"{'11': 0.269, '6': 0.597}"
gaming chairs,2835.3205,0.1323,"{'10': 0.207, '2': 0.285, '5': 0.528}"
squishmallows,1212.6204,0.0991,"{'9': 0.5, '11': 0.379, '5': 0.332}"
lingerie,163.2684,0.0589,"{'8': 0.081, '3': 0.409, '11': 0.925, '6': 0.092}"
tapestry,119.7869,0.0677,"{'10': 0.336, '6': 0.845}"
laundry basket,685.483,0.1287,"{'2': 0.185, '11': 0.19, '4': 0.142}"
shein,470.5271,0.0629,"{'11': 0.979, '7': 0.266}"
anime,124.2348,0.0648,"{'10': 0.355, '6': 0.281}"
pencil case,1075.1604,0.1301,"{'2': 0.197, '11': 0.472, '5': 0.122}"
bathroom organizer,184.8619,0.0582,"{'11': 0.773, '5': 0.101}"
crocs charms,1055.5931,0.0746,"{'10': 0.252, '2': 0.185, '4': 1.254}"
shower caddy,348.7802,0.0853,"{'3': 0.689, '11': 0.678, '6': 0.408}"
playstation 5,77.4875,0.0794,{'8': 0.44}
barbie,158.6,0.0643,"{'10': 0.111, '6': 0.21}"
airpods,55.3432,0.0862,"{'2': 1.026, '5': 0.759, '7': 0.504}"
shower curtain,47.608,0.0544,"{'11': 0.433, '5': 0.37, '7': 1.014}"
keyboard,256.5532,0.07,"{'11': 0.346, '4': 0.452, '7': 0.72}"
documentaries,137.8236,0.0656,"{'10': 0.854, '6': 0.203}"
sandals for women casual summer,77738.4545,0.0833,{'11': 0.975}
pool,1470.8099,0.0831,{'11': 0.969}
portable ac,12240.8373,0.1296,{'11': 0.87}
water bottle,106.1686,0.1137,"{'11': 0.555, '7': 0.116}"
press on nails,265.5503,0.0634,"{'11': 0.567, '6': 0.173}"
nike shoes men,995.9339,0.0778,{'6': 1.072}
wedding guest dresses for women,46838.3333,0.1186,{'6': 0.091}
nike,179.3395,0.0473,{'10': 0.153}
smart watch,116.6643,0.055,"{'10': 0.273, '2': 0.231, '5': 0.205}"
stand up comedy,398.8983,0.0863,"{'11': 0.517, '6': 0.409}"
computer desk,122.8015,0.0893,"{'11': 0.526, '6': 0.488}"
pens,265.7327,0.0808,"{'3': 0.121, '11': 0.742, '6': 0.304}"
xbox series x,95.0133,0.0779,"{'9': 0.117, '5': 0.421}"
ring light,146.5436,0.0917,"{'10': 0.327, '6': 0.133}"
iphone 11 pro max case,793.5025,0.1079,"{'2': 0.383, '11': 0.687, '6': 0.417}"
shower head,182.9071,0.0591,"{'11': 0.716, '6': 0.484}"
plus size summer dresses,64273.8483,0.1578,{'11': 0.646}
camping accessories,338.5496,0.1021,{'11': 0.475}
suitcase,848.0173,0.0725,{'10': 0.119}
makeup,264.8568,0.0618,"{'8': 1.295, '11': 0.098}"
iphone 12,240.1671,0.0619,"{'11': 0.51, '5': 0.087}"
sunglasses womens,119018.9989,0.1266,{'5': 0.258}
water shoes for women,3599.034,0.0879,"{'11': 0.408, '6': 0.706}"
iphone charger cable,9076.6893,0.1375,"{'10': 0.275, '4': 0.837}"
projector,155.3931,0.0653,"{'8': 0.136, '10': 0.448, '2': 0.423, '5': 0.443}"
nail polish,243.884,0.0542,"{'11': 0.626, '6': 0.159}"
disney plus,330.9997,0.0786,{'11': 0.87}
shorts for women,861.216,0.0957,"{'11': 0.92, '6': 0.863}"
pop socket for phone,50955.0621,0.1081,{'8': 0.236}
patio furniture,815.3573,0.1133,{'11': 0.522}
rings,119.2471,0.0577,{'10': 0.33}
star trek,134.1738,0.068,"{'8': 0.542, '10': 0.3, '4': 0.259, '6': 0.298}"
ice maker,344.6369,0.1232,"{'11': 0.446, '5': 0.708}"
pokemon cards,102.9369,0.0804,{'8': 0.33}
bucket hat,524.8914,0.1175,{'11': 0.77}
air fryer,44.1496,0.0732,"{'10': 0.967, '7': 0.637}"
masks,102.9967,0.0808,"{'11': 1.038, '6': 0.467}"
mouse pad,105.1846,0.0611,"{'8': 1.037, '11': 0.177, '6': 0.381}"
beach bag,1743.7298,0.1121,{'11': 0.523}
action movies,391.1916,0.0704,"{'11': 0.487, '4': 0.188, '6': 0.101}"
bikini,897.7669,0.11,{'11': 0.525}
cat tree,188.5515,0.0701,"{'2': 0.227, '11': 0.5, '5': 0.163}"
travel accessories,471.1739,0.062,{'11': 0.269}
bedroom decor,256.5774,0.0537,"{'11': 0.785, '5': 0.315}"
cat toys,189.1859,0.0709,"{'10': 0.233, '5': 0.131}"
disposable face masks,310.9797,0.0828,"{'11': 0.144, '6': 0.887}"
coffee,251.096,0.0641,{'10': 1.372}
kitchen organization,281.8053,0.0625,"{'2': 0.537, '11': 1.01, '5': 0.148}"
kindle,171.4712,0.051,"{'8': 0.584, '10': 0.144, '5': 0.121}"
air fryers,7855.4653,0.0842,"{'10': 0.266, '5': 0.208}"
nike shoes women,260.688,0.0748,"{'2': 0.093, '11': 0.411, '6': 0.862}"
halloween decorations,8290.461,0.1087,{'11': 0.713}
funko pop,112.2731,0.0538,"{'11': 0.271, '6': 0.292}"
telugu movies 2021,11337.7501,0.076,{}
vibrator dildo for women vibrating machine,12723.859,0.0964,{'8': 1.184}
paraguard,103297.4301,0.1541,"{'11': 0.197, '4': 0.366}"
storage bins,226.4352,0.0549,"{'2': 0.158, '11': 0.729, '6': 0.133}"
car accessories for women,335.308,0.0677,"{'2': 0.251, '11': 0.732, '5': 0.344}"
bread,303.2182,0.1021,"{'11': 0.613, '7': 0.488}"
shoes,197.5666,0.0508,"{'10': 0.885, '6': 0.153}"
bathroom accessories,392.8887,0.0666,"{'2': 0.435, '11': 0.734, '6': 0.101}"
makeup bag,383.1503,0.0679,"{'10': 0.098, '2': 0.148, '6': 0.182}"
makeup organizer,150.9624,0.0733,"{'10': 0.373, '6': 0.296}"
iphone se 2020 case,4188.2629,0.155,"{'11': 0.521, '6': 0.66}"
cooler,890.6884,0.0866,{'11': 0.396}
apple watch series 6,609.193,0.0824,"{'8': 0.867, '11': 1.092}"
notebook,403.9382,0.0555,"{'3': 0.264, '11': 0.491, '5': 0.675}"
yoga mat,218.0376,0.0657,"{'11': 0.46, '7': 0.553}"
dog treats,248.9929,0.0591,"{'11': 0.385, '6': 0.156}"
mattress,347.3355,0.0743,"{'10': 0.592, '2': 0.347, '5': 0.261}"
amz prime,8286.224,0.0745,{'11': 1.474}
ps4,235.4413,0.0536,"{'10': 0.439, '5': 0.163}"
melatonin,302.1455,0.0486,"{'3': 0.271, '11': 1.016, '6': 0.066}"
birthday gifts for women,282.4606,0.0457,"{'11': 1.013, '6': 0.121}"
rtx 3080,302.2547,0.0567,"{'8': 0.337, '11': 0.923, '6': 0.123}"
tank top for women,106958.3832,0.1205,{'4': 0.096}
crop tops for women,414.8566,0.0564,{'11': 1.054}
air conditioner,2843.1257,0.1139,{'11': 0.769}
beach towel,1620.0675,0.1383,{'11': 0.527}
printer,233.6825,0.0638,"{'11': 0.624, '7': 0.184}"
beach chairs,5326.0119,0.0905,{'11': 0.842}
ps5 console,154.1155,0.1025,"{'8': 0.409, '6': 0.566}"
crossbody bags for women,310.539,0.0658,"{'2': 0.222, '11': 0.482, '6': 0.166}"
westerns,725.0937,0.0929,"{'11': 0.287, '4': 0.357}"
rugs,416.143,0.0713,"{'2': 0.206, '11': 0.501, '5': 0.12}"
massage gun,182.3137,0.0717,"{'8': 0.417, '10': 0.454, '3': 0.325, '5': 0.462}"
slime,256.4294,0.0572,"{'3': 0.203, '11': 0.486}"
laptop stand,363.8308,0.0777,"{'11': 0.489, '6': 0.518}"
gifts for women,251.4611,0.0637,"{'8': 0.121, '10': 1.123, '6': 0.288}"
water,355.3188,0.0823,"{'11': 0.891, '7': 1.122}"
camera,259.3522,0.047,"{'11': 1.043, '5': 0.064}"
wireless mouse,231.5091,0.0551,"{'11': 0.36, '6': 0.538}"
free movies,452.2681,0.0592,"{'11': 0.83, '6': 0.153}"
nose rings,380.8157,0.0522,"{'11': 0.333, '6': 0.596}"
hey dudes,1368.1132,0.0773,"{'10': 0.094, '2': 0.397, '5': 0.055}"
water shoes,1909.16,0.0907,{'11': 0.365}
fly trap,7772.6752,0.0853,{'11': 0.457}
the chi,14330.1481,0.1075,"{'3': 0.119, '11': 0.316}"
spiderman,188.3363,0.0743,"{'8': 0.504, '11': 0.513, '4': 0.442, '6': 0.415}"
mosquito repellent,3643.2487,0.095,{'11': 0.512}
floating shelves,329.8155,0.0547,"{'11': 0.199, '6': 1.092}"
vibrator,298.6984,0.0678,{'11': 1.332}
lingerie for women,423.637,0.1151,"{'9': 0.125, '4': 0.338}"
plant stand,248.4491,0.0629,"{'11': 0.816, '6': 0.119}"
baby girl clothes,307.0863,0.049,"{'2': 0.086, '11': 0.834, '5': 0.24}"
plus size tops for women,340.8852,0.0726,"{'8': 0.198, '11': 0.297}"
eggs,431.6538,0.0669,{'10': 1.306}
couch,260.1334,0.0581,"{'11': 0.505, '5': 0.181, '7': 0.088}"
gaming laptop,240.856,0.0489,"{'10': 0.106, '5': 0.864}"
sunscreen,1752.4861,0.1041,"{'11': 0.603, '7': 0.422}"
skechers shoes for women,1961.1849,0.074,"{'2': 1.035, '11': 0.073}"
planner,685.9648,0.0959,"{'3': 0.203, '11': 0.62, '6': 0.157}"
books for 3 year olds,309.5034,0.0844,{'11': 0.121}
vitamin c,827.5029,0.1204,"{'8': 0.707, '10': 1.033, '3': 0.146}"
luggage sets,1134.1656,0.0776,"{'10': 0.076, '6': 0.781}"
rug,328.1927,0.0519,"{'8': 0.193, '10': 0.758, '5': 0.082}"
magnesium,495.7231,0.0806,"{'8': 0.938, '3': 0.174, '11': 1.161, '6': 0.509}"
bathroom rugs,249.2214,0.0545,"{'11': 0.209, '6': 0.877}"
hbo max,182.4664,0.0585,{'11': 0.984}
vacuum cleaner,738.3459,0.0955,"{'8': 0.581, '10': 1.172}"
mask,194.0113,0.0796,"{'11': 1.118, '6': 0.499}"
night stands,7302.816,0.1352,"{'2': 0.294, '11': 0.866, '5': 0.345}"
camping,703.079,0.0935,{'11': 0.64}
led strip lights,826.5383,0.0641,"{'10': 1.276, '2': 0.408, '4': 0.173, '6': 0.129}"
dog harness,376.6189,0.0482,"{'11': 0.44, '6': 0.869}"
masks disposable,17685.2586,0.1627,{'5': 0.337}
paraguard parasite cleanse for humans,26258.093,0.1331,{'11': 0.526}
girls backpack,11439.6,0.1336,"{'10': 0.689, '5': 0.482}"
gaming desk,189.5534,0.0668,"{'10': 0.378, '6': 0.226}"
black dresses for women,31437.6116,0.0923,{'2': 0.803}
air purifiers,9621.6834,0.1893,"{'3': 0.335, '5': 0.834}"
nerf guns,663.8048,0.0989,"{'2': 0.417, '5': 0.366}"
area rug,577.7239,0.0586,"{'2': 0.163, '11': 0.369, '6': 0.401}"
vans,327.9779,0.0615,"{'10': 0.13, '6': 0.15}"
fitbit,277.4014,0.0529,{'10': 1.14}
black widow,13171.8032,0.1791,"{'11': 0.129, '5': 0.195}"
fidget pack,278.036,0.0744,"{'11': 0.501, '4': 0.082}"
wall art,430.8995,0.0697,"{'2': 0.183, '11': 0.617, '6': 0.489}"
milk,360.1838,0.0738,"{'11': 0.258, '7': 1.273}"
romper,3674.343,0.1119,{'11': 0.907}
eyelashes,299.5788,0.0491,"{'9': 0.124, '11': 0.943, '6': 0.255}"
wall decor,140.7356,0.0638,"{'8': 0.189, '11': 0.77}"
picture frames,279.4192,0.0545,"{'10': 0.271, '6': 0.824}"
pillows,548.745,0.0853,"{'2': 0.353, '11': 0.203, '6': 0.194}"
curtains,471.849,0.1258,"{'8': 1.353, '11': 0.574}"
madea,344.7496,0.0773,{'11': 0.685}
iphone 12 pro max,349.4516,0.0784,"{'11': 0.747, '4': 0.2}"
adidas shoes men,263.5061,0.0728,{'11': 0.488}
outdoor furniture,559.8275,0.0861,{'11': 1.062}
hair accessories for women,707.2799,0.0902,"{'2': 0.651, '11': 0.517, '5': 0.52}"
jewelry box,449.12,0.0647,"{'10': 0.399, '4': 0.233, '6': 0.179}"
workout sets for women,4989.8343,0.1303,"{'2': 0.392, '5': 0.123}"
womens shorts,2485.2264,0.093,{'11': 0.872}
stickers,253.4274,0.0666,"{'11': 0.51, '6': 0.427}"
airpods pro 2,22915.5342,0.0737,{}
organization and storage,480.2602,0.0793,"{'2': 0.68, '11': 0.68, '5': 0.361}"
baby boy clothes,407.7676,0.0526,"{'11': 0.788, '5': 0.303}"
bathing suit for women,36101.4199,0.0762,{'4': 0.078}
demon slayer,484.6801,0.0588,{'11': 0.372}
curtain rods,1532.5034,0.1367,"{'2': 0.24, '11': 0.068, '5': 0.351}"
two piece outfits for women,621.1533,0.0777,{'11': 0.879}
blackout curtains,920.2176,0.0634,"{'2': 1.074, '11': 0.167, '5': 0.372}"
tote bag,884.7114,0.0999,"{'2': 0.252, '11': 0.13}"
workout tops for women,363.4085,0.0672,{'11': 0.715}
baby,277.9778,0.0516,"{'8': 0.412, '11': 0.5, '4': 0.206}"
maxi dress,950.6012,0.0977,{'11': 1.04}
squishmallow,78.723,0.0806,{'7': 0.676}
diamond painting kits,8580.9445,0.1628,"{'2': 0.265, '4': 0.571}"
white dress,426.5435,0.089,"{'8': 0.123, '11': 1.127}"
sexually explicit content,109528.395,0.1326,{'10': 0.324}
microwave,266.3999,0.0559,{'11': 0.554}
fast and furious,1013.2526,0.0736,{'11': 0.929}
sunglasses,539.6358,0.103,{'11': 0.383}
screws,280.822,0.0622,"{'2': 0.504, '11': 1.062, '7': 0.151}"
minecraft,303.0496,0.0656,"{'10': 0.197, '5': 0.192}"
chair,282.9683,0.0602,"{'8': 0.278, '11': 0.529}"
tablet,162.2011,0.0562,"{'10': 0.169, '7': 0.553}"
beach accessories,7182.7164,0.1084,{'10': 0.619}
black dress,509.4013,0.0657,"{'8': 0.121, '3': 0.106, '11': 0.538, '6': 0.153}"
disney,334.2676,0.0619,"{'8': 0.395, '2': 0.234, '11': 0.562, '6': 0.128}"
ring,431.4376,0.0497,"{'8': 0.805, '10': 0.344, '5': 0.209}"
blue light glasses,311.593,0.092,"{'11': 0.719, '6': 0.12}"
dog food,674.6306,0.1107,"{'8': 0.736, '11': 1.141}"
ankle bracelets for women,13260.6461,0.1039,"{'11': 0.102, '5': 0.593}"
paramount plus,292.2994,0.0827,{'10': 0.999}
sandals,1703.1711,0.1326,{'11': 0.789}
nintendo switch games,204.2193,0.1255,{'9': 0.197}
kitchen decor,528.3584,0.0663,"{'8': 0.407, '2': 0.243, '11': 0.748, '6': 0.165}"
naruto,285.6395,0.059,{'10': 0.265}
paw patrol,190.0892,0.0688,"{'11': 0.297, '4': 0.396, '7': 0.318}"
mirror,358.7667,0.0641,"{'11': 0.513, '7': 0.34}"
dehumidifiers,30404.2398,0.1589,{'4': 0.246}
blippi,323.9394,0.0512,"{'11': 0.265, '4': 0.085, '6': 0.138}"
amazon,247.0843,0.0599,"{'3': 0.128, '11': 0.441, '7': 0.364}"
desk lamp,433.6097,0.0811,"{'11': 0.447, '6': 0.292}"
cocktail dresses,21826.6302,0.0878,{'5': 0.153}
steering wheel cover,495.9167,0.0606,"{'8': 0.179, '2': 0.46, '11': 0.478, '4': 0.912}"
hair clips,163.9928,0.0598,"{'11': 0.681, '7': 0.675}"
pool floats,2119.1323,0.1191,{'11': 0.563}
lashes,323.887,0.0694,"{'8': 0.219, '11': 0.606, '6': 0.088}"
dildos,495.4242,0.0586,"{'11': 0.682, '6': 0.173}"
lamp,592.9245,0.0784,"{'8': 1.259, '11': 0.993}"
shelves,291.7559,0.0498,{'11': 0.68}
wigs,245.5629,0.0576,"{'11': 0.968, '7': 0.139}"
outdoor string lights,1851.126,0.0924,"{'11': 0.219, '6': 0.401}"
toothpaste,311.7391,0.0638,"{'11': 0.934, '6': 0.639}"
mens shoes,470.5448,0.0838,"{'10': 0.439, '2': 0.666, '6': 0.535}"
birkenstock sandals,75218.8547,0.1052,{'10': 0.366}
chips,330.593,0.0484,"{'8': 0.086, '11': 0.812}"
ice cream,539.3452,0.0674,"{'11': 0.771, '7': 0.312}"
desk organizers,13147.977,0.14,{'2': 0.359}
wallet,614.7462,0.0624,{'10': 1.306}
hand sanitizer,607.0787,0.0654,"{'11': 0.952, '6': 0.359}"
desk accessories,877.3295,0.0977,"{'2': 0.635, '11': 0.565, '5': 0.705}"
wireless earbuds,172.9647,0.0837,"{'8': 0.215, '2': 0.253, '11': 0.196, '6': 0.203}"
maternity clothes,541.191,0.0711,"{'11': 0.775, '6': 0.308}"
jewelry,454.5781,0.064,"{'10': 0.581, '6': 0.116}"
ravpower,295.538,0.0673,"{'11': 0.698, '5': 0.158}"
t-shirts,313.6429,0.0921,{'11': 0.622}
solar lights outdoor garden,767.7445,0.0745,{'11': 1.32}
gaming mouse,324.8685,0.0655,"{'10': 0.311, '5': 0.156}"
gaming keyboard,601.7061,0.0714,"{'8': 0.216, '10': 0.569, '5': 0.34}"
mouse,360.1413,0.0471,"{'11': 0.952, '7': 0.087}"
keto,582.3222,0.0737,"{'8': 0.745, '11': 1.057}"
cheese grater,2621.3594,0.0712,"{'10': 0.186, '5': 0.375}"
throw pillows,406.0186,0.0559,"{'11': 0.542, '6': 0.082}"
yeti,320.8459,0.0678,"{'10': 0.172, '2': 0.141, '4': 0.235}"
vitamin d,631.4881,0.1005,"{'8': 0.632, '3': 0.131, '11': 0.524}"
space jam 2,16593.2753,0.12,{'11': 0.701}
airsoft guns,869.0067,0.1134,"{'10': 0.12, '2': 0.536}"
scary movies,864.1408,0.0649,{'11': 1.416}
tent,649.4541,0.0947,{'11': 0.83}
dog leash,861.554,0.0673,"{'2': 0.355, '11': 0.639, '6': 0.342}"
scrubs for women,474.8127,0.05,"{'11': 0.954, '6': 0.116}"
nail kit,542.6615,0.075,"{'8': 0.675, '10': 0.122}"
alarm clock,723.1921,0.0516,"{'10': 0.949, '6': 0.162}"
standing desk,376.4616,0.0649,"{'11': 0.679, '7': 0.237}"
purses and handbags,15877.6011,0.1217,{'5': 0.581}
portable air conditioners,89346.9127,0.136,{'3': 0.442}
airpods pro case,358.6542,0.0638,"{'8': 0.417, '11': 0.185, '5': 0.731}"
vanity,482.6384,0.0566,"{'10': 0.249, '2': 0.189, '6': 0.137}"
necklaces for women,517.4157,0.0556,"{'9': 0.562, '6': 0.371}"
floor lamp,237.144,0.0586,"{'11': 0.339, '7': 0.298}"
sunglasses men,22198.1079,0.1011,{'4': 0.088}
hulu,651.8046,0.0623,{'11': 1.017}
ashwagandha,700.9513,0.0683,"{'11': 0.944, '5': 0.143}"
pc,340.2531,0.0664,"{'8': 0.703, '10': 0.273}"
dash cam,432.8726,0.0663,"{'10': 0.08, '7': 0.248}"
wallet women,15936.4798,0.1609,"{'2': 0.242, '4': 0.21}"
highlighters,1571.4533,0.0884,"{'11': 0.508, '6': 0.581}"
laundry detergent,438.3446,0.0721,"{'11': 0.997, '6': 0.469}"
type c charger,198.4565,0.0783,"{'11': 0.654, '4': 0.231, '7': 0.615}"
blender,347.5791,0.061,"{'11': 0.523, '6': 0.137}"
nintendo switch game,7921.7777,0.1657,{'4': 0.414}
office supplies,599.7107,0.0494,"{'11': 0.833, '5': 0.079}"
compression socks for women,18605.6504,0.1191,{'6': 0.729}
candles,234.4985,0.0854,{'6': 0.15}
books best sellers,7309.3466,0.0885,{'2': 0.834}
new balance womens shoes,2745.4717,0.0735,{'2': 1.341}
macbook pro,508.7487,0.0669,{'10': 0.326}
diaper bag,493.689,0.0548,"{'2': 0.217, '11': 0.843, '6': 0.082}"
lanyard,763.0504,0.072,"{'2': 0.429, '11': 0.616, '6': 0.347}"
summer dresses,7091.2868,0.1342,{'11': 0.501}
warehouse,28630.3814,0.1519,"{'3': 0.203, '5': 0.649}"
bedding comforters & sets,1213.4869,0.0838,"{'2': 0.387, '11': 0.69, '4': 0.207}"
mens swim trunk,73770.0524,0.083,{'8': 1.146}
beach tent,4114.7954,0.1219,{'11': 0.89}
body wash,450.3011,0.057,"{'11': 0.966, '6': 0.208}"
gatorade,775.8546,0.0635,"{'3': 0.097, '11': 1.016, '5': 0.12}"
mens underwear,511.3156,0.0753,"{'11': 0.157, '6': 0.359}"
drawer organizer,2774.4932,0.1754,"{'2': 0.196, '11': 0.092, '5': 0.154}"
paper towel holder,509.8069,0.0661,"{'2': 0.109, '11': 0.575, '6': 0.234}"
sexy dress,3435.7674,0.0553,"{'11': 0.876, '4': 0.127, '6': 0.413}"
pre workout,505.2093,0.0621,{'11': 0.748}
book shelves,3344.3378,0.0975,"{'11': 0.684, '5': 0.203}"
dog collars,5270.5006,0.0791,"{'2': 0.162, '11': 0.538, '5': 0.093}"
tablets,1163.6124,0.0756,"{'10': 0.281, '2': 0.195, '5': 0.214}"
